"ind1.id"	"ind2.id"	"ritland"
"19M"	"26M"	-0.3837
"11M"	"19M"	-0.3818
"17M"	"31M"	-0.3807
"9M"	"30M"	-0.3757
"31M"	"32M"	-0.3735
"21M"	"30M"	-0.3675
"7M"	"32M"	-0.3645
"8M"	"9M"	-0.3582
"8M"	"19M"	-0.3569
"16M"	"30M"	-0.3543
"10M"	"27M"	-0.3454
"30M"	"31M"	-0.3307
"22M"	"7M"	-0.3251
"7M"	"30M"	-0.3095
"25M"	"28M"	-0.309
"21M"	"22M"	-0.3078
"1M"	"22M"	-0.3067
"18M"	"9M"	-0.2982
"27M"	"25M"	-0.2889
"1M"	"29M"	-0.2882
"8M"	"12M"	-0.2843
"24M"	"28M"	-0.2836
"4M"	"25M"	-0.2822
"25M"	"26M"	-0.2809
"2M"	"14M"	-0.2739
"21M"	"32M"	-0.2668
"13M"	"15M"	-0.2667
"27M"	"24M"	-0.2639
"10M"	"30M"	-0.2605
"19M"	"28M"	-0.2603
"18M"	"32M"	-0.2585
"8M"	"27M"	-0.258
"4M"	"24M"	-0.2574
"24M"	"26M"	-0.256
"1M"	"18M"	-0.2539
"16M"	"29M"	-0.2519
"16M"	"32M"	-0.2515
"19M"	"25M"	-0.2507
"22M"	"31M"	-0.25
"29M"	"4M"	-0.2481
"10M"	"28M"	-0.2458
"27M"	"12M"	-0.2441
"6M"	"28M"	-0.2433
"14M"	"31M"	-0.2432
"6M"	"18M"	-0.2381
"11M"	"27M"	-0.2359
"1M"	"32M"	-0.2348
"26M"	"32M"	-0.2334
"10M"	"31M"	-0.232
"10M"	"21M"	-0.2313
"10M"	"15M"	-0.2311
"27M"	"9M"	-0.2295
"12M"	"17M"	-0.2274
"16M"	"22M"	-0.227
"19M"	"24M"	-0.2256
"29M"	"26M"	-0.2247
"2M"	"7M"	-0.2221
"20M"	"14M"	-0.2213
"17M"	"19M"	-0.2195
"15M"	"30M"	-0.2179
"21M"	"23M"	-0.215
"6M"	"14M"	-0.213
"8M"	"28M"	-0.2123
"1M"	"19M"	-0.2112
"12M"	"28M"	-0.2104
"26M"	"30M"	-0.2097
"8M"	"31M"	-0.2094
"19M"	"23M"	-0.2072
"22M"	"9M"	-0.2064
"8M"	"16M"	-0.2059
"10M"	"17M"	-0.2051
"27M"	"29M"	-0.2036
"2M"	"4M"	-0.1982
"9M"	"23M"	-0.194
"18M"	"2M"	-0.1929
"17M"	"23M"	-0.1922
"1M"	"20M"	-0.1914
"19M"	"30M"	-0.1906
"15M"	"25M"	-0.1903
"8M"	"22M"	-0.1885
"6M"	"8M"	-0.1873
"23M"	"28M"	-0.1856
"24M"	"32M"	-0.1854
"25M"	"32M"	-0.1854
"21M"	"27M"	-0.1828
"8M"	"15M"	-0.182
"1M"	"10M"	-0.1798
"20M"	"30M"	-0.1792
"21M"	"25M"	-0.1763
"4M"	"7M"	-0.1759
"29M"	"30M"	-0.1756
"2M"	"15M"	-0.175
"19M"	"31M"	-0.1708
"6M"	"27M"	-0.1689
"15M"	"19M"	-0.1686
"7M"	"31M"	-0.1666
