mother_code sample_ID
01M 01_2019_2246
02M 01_2019_2241
04M 01_2019_2259
06M 01_2019_2258
07M 01_2019_2264
08M 01_2019_2265
09M 01_2019_2262
10M 01_2019_2215
11M 01_2019_2205
12M 01_2019_2263
13M 01_2019_2266
14M 01_2019_2234
15M 01_2019_2233
16M 01_2019_2228
17M 01_2019_2229
18M 01_2019_2186
19M 01_2019_2185
20M 01_2019_2180
21M 01_2019_2121
22M 01_2019_2135
23M 01_2019_2242
24M 01_2019_2244
25M 01_2019_2245
26M 01_2019_2240
27M 01_2019_2236
28M 01_2019_2235
29M 01_2019_2171
30M 01_2019_2136
31M 01_2019_2125
32M 01_2019_2170
