"sorted.uniq_i7_RAD1_neb_25_14_1_sbfI","A.nebrodensis_1"
"sorted.uniq_i12_RAD1_neb_25_14_2_sbfI","A.nebrodensis_2"
"sorted.uniq_i18_RAD2_neb_25_14_3_sbfI","A.nebrodensis_3"
"sorted.uniq_i16_RAD3_neb_25_14_4_sbfI","A.nebrodensis_4"
"sorted.uniq_i31_RAD4_neb_25_14_5_sbfI","A.nebrodensis_5"
"sorted.uniq_i10_RAD1_cep_39_2_sbfI","A.cephalonica_1"
"sorted.uniq_i20_RAD2_cep_39_10_1_sbfI","A.cephalonica_2"
"sorted.uniq_i31_RAD3_cep_39_10_3_sbfI","A.cephalonica_3"
"sorted.uniq_i1_RAD4_cep_39_10_4_sbfI","A.cephalonica_4"
"sorted.uniq_i11_RAD5_cep_39_10_5_sbfI","A.cephalonica_5"
"sorted.uniq_i22_RAD1_cep_57_3_sbfI","A.cephalonica_6"
"sorted.uniq_i8_RAD2_cep_57_10_1_sbfI","A.cephalonica_7"
"sorted.uniq_i19_RAD3_cep_57_10_5_sbfI","A.cephalonica_8"
"sorted.uniq_i35_RAD4_cep_57_10_7_sbfI","A.cephalonica_9"
"sorted.uniq_i6_RAD5_cep_57_10_2_sbfI","A.cephalonica_10"
"sorted.uniq_i27_RAD1_cep_10_2_sbfI","A.cephalonica_11"
"sorted.uniq_i38_RAD2_cep_10_10_3_sbfI","A.cephalonica_12"
"sorted.uniq_i10_RAD3_cep_10_10_4_sbfI","A.cephalonica_13"
"sorted.uniq_i29_RAD4_cep_10_10_5_sbfI","A.cephalonica_14"
"sorted.uniq_i40_RAD5_cep_10_10_6_sbfI","A.cephalonica_15"
"sorted.uniq_i30_RAD1_al_1_14_1_sbfI","A.alba_1"
"sorted.uniq_i1_RAD2_al_1_14_2_sbfI","A.alba_2"
"sorted.uniq_i9_RAD3_al_1_14_3_sbfI","A.alba_3"
"sorted.uniq_i5_RAD4_al_1_14_4_sbfI","A.alba_4"
"sorted.uniq_i1_RAD5_al_1_14_5_sbfI","A.alba_5"
"sorted.uniq_i13_RAD2_al_2_14_1_sbfI","A.alba_6"
"sorted.uniq_i22_RAD3_al_2_14_2_sbfI","A.alba_7"
"sorted.uniq_i33_RAD3_al_2_14_5_sbfI","A.alba_8"
"sorted.uniq_i10_RAD4_al_2_14_3_sbfI","A.alba_9"
"sorted.uniq_i23_RAD5_al_2_14_4_sbfI","A.alba_10"
"sorted.uniq_i14_RAD2_al_3_14_1_sbfI","A.alba_11"
"sorted.uniq_i23_RAD3_al_3_14_2_sbfI","A.alba_12"
"sorted.uniq_i12_RAD4_al_3_14_3_sbfI","A.alba_13"
"sorted.uniq_i19_RAD5_al_3_14_4_sbfI","A.alba_14"
"sorted.uniq_i40_RAD4_al_3_14_5_sbfI","A.alba_15"
