ID	loci
7056:88:+	a00001151_105453
10333:8:+	a00001795_101025
15225:46:-	a00002911_27399
15447:17:+	a00002963_19883
18913:37:-	a00003814_72402
27439:56:-	a00006084_65528
30701:93:-	a00006984_7359
33108:84:-	a00007680_38992
35499:30:+	a00008388_38342
43237:7:+	a00010841_77660
49962:43:+	a00013094_8680
52544:44:-	a00013993_51517
55952:78:+	a00015203_22075
57592:13:-	a00015810_22304
63674:75:-	a00018153_26147
69371:74:+	a00020346_48250
69713:30:+	a00020473_65614
72930:74:-	a00021794_4492
92051:59:-	a00030235_46980
93964:62:+	a00031071_37826
94395:18:+	a00031272_48711
100193:20:+	a00034043_28038
102196:47:+	a00034998_11122
104749:73:+	a00036297_49597
112854:11:+	a00040488_52165
115436:31:-	a00041846_38440
118825:23:-	a00043719_30255
122175:11:-	a00045562_26628
125017:42:+	a00047126_48994
125184:12:-	a00047210_26089
130708:21:-	a00050479_21169
136741:23:-	a00054117_20412
136851:75:-	a00054184_3084
138837:31:+	a00055382_18137
139556:9:+	a00055837_37299
144878:61:+	a00059304_15194
144879:57:-	a00059304_15081
147355:13:-	a00060937_26028
151071:21:-	a00063382_13233
151652:40:+	a00063801_5298
153133:21:-	a00064811_27192
157218:88:-	a00067646_3892
159328:67:-	a00069158_2571
160476:60:+	a00070014_24486
161853:28:-	a00071018_6126
167833:8:+	a00075376_31911
170604:41:-	a00077522_23410
172008:76:+	a00078567_20066
175811:43:+	a00081462_19899
176609:95:-	a00082052_27979
181281:38:-	a00085904_7598
182135:53:+	a00086661_8112
182906:74:-	a00087283_35345
186282:73:-	a00090069_25394
193772:43:-	a00096674_6090
198215:87:+	a00100766_4329
200519:65:+	a00102759_14882
200949:74:-	a00103201_11469
201692:71:-	a00103924_8234
206697:79:-	a00108590_5633
207941:62:-	a00109814_5074
216201:51:-	a00117989_27774
217642:68:-	a00119440_5278
218943:40:-	a00120809_12849
221165:17:+	a00123112_2714
228291:93:-	a00130911_9891
229543:58:+	a00132319_20094
229568:36:+	a00132345_23501
230308:28:-	a00133194_13505
231953:22:-	a00135098_1568
234355:76:+	a00137831_18975
235234:27:-	a00138895_25515
241367:87:-	a00146340_23909
244573:78:+	a00150416_661
248669:47:-	a00155697_15407
249976:94:-	a00157499_3419
252233:65:-	a00160684_3089
252812:32:+	a00161543_9085
253116:56:-	a00161986_20138
259301:31:-	a00170740_10829
262502:75:+	a00175463_12566
264897:18:-	a00179214_8144
266028:20:+	a00181026_3325
266305:10:-	a00181436_13305
268048:18:+	a00184196_7377
269523:19:+	a00186444_955
271486:87:+	a00189742_14048
272641:81:+	a00191698_16865
276278:79:-	a00197898_2244
276452:64:+	a00198233_11563
277753:63:-	a00200449_2676
278980:82:-	a00202695_10416
287744:26:-	a00219286_9054
289960:43:-	a00223820_15098
290779:90:-	a00225509_2830
295030:64:-	a00234411_13137
296185:45:+	a00236944_1923
297831:10:-	a00240581_8833
297980:10:+	a00240873_13157
298039:74:+	a00240999_12825
301053:67:+	a00248048_6635
302574:94:-	a00251520_9783
303145:16:-	a00252992_5737
303935:42:+	a00255117_6348
307959:15:-	a00265848_11777
310683:32:+	a00273547_1562
313171:50:-	a00280463_7167
313882:72:-	a00282568_2061
315267:28:+	a00286385_11552
317163:89:-	a00292324_2920
323665:13:-	a00314534_8683
324110:66:+	a00316071_8662
326608:70:-	a00325926_6683
326849:40:+	a00326816_8574
327322:8:+	a00328710_9618
329317:41:+	a00337369_8082
353190:57:-	a00516315_2251
357045:10:-	a00596278_1489
