"a00001151_105453.1"	"a00001151_105453.2"	"a00001795_101025.1"	"a00001795_101025.2"	"a00002911_27399.1"	"a00002911_27399.2"	"a00002963_19883.1"	"a00002963_19883.2"	"a00003814_72402.1"	"a00003814_72402.2"	"a00007680_38992.1"	"a00007680_38992.2"	"a00008388_38342.1"	"a00008388_38342.2"	"a00013094_8680.1"	"a00013094_8680.2"	"a00013963_3922.1"	"a00013963_3922.2"	"a00013993_51517.1"	"a00013993_51517.2"	"a00015203_22075.1"	"a00015203_22075.2"	"a00015810_22304.1"	"a00015810_22304.2"	"a00018153_26147.1"	"a00018153_26147.2"	"a00020346_48250.1"	"a00020346_48250.2"	"a00020473_65614.1"	"a00020473_65614.2"	"a00021794_4492.1"	"a00021794_4492.2"	"a00030235_46980.1"	"a00030235_46980.2"	"a00031071_37826.1"	"a00031071_37826.2"	"a00031272_48711.1"	"a00031272_48711.2"	"a00034998_11122.1"	"a00034998_11122.2"	"a00036297_49597.1"	"a00036297_49597.2"	"a00040488_52165.1"	"a00040488_52165.2"	"a00041846_38440.1"	"a00041846_38440.2"	"a00043719_30255.1"	"a00043719_30255.2"	"a00045562_26628.1"	"a00045562_26628.2"	"a00047210_26089.1"	"a00047210_26089.2"	"a00050479_21169.1"	"a00050479_21169.2"	"a00052516_22358.1"	"a00052516_22358.2"	"a00054117_20412.1"	"a00054117_20412.2"	"a00054184_3084.1"	"a00054184_3084.2"	"a00055837_37299.1"	"a00055837_37299.2"	"a00059304_15194.1"	"a00059304_15194.2"	"a00060937_26028.1"	"a00060937_26028.2"	"a00063382_13233.1"	"a00063382_13233.2"	"a00063801_5298.1"	"a00063801_5298.2"	"a00064811_27192.1"	"a00064811_27192.2"	"a00067646_3892.1"	"a00067646_3892.2"	"a00069158_2571.1"	"a00069158_2571.2"	"a00071018_6126.1"	"a00071018_6126.2"	"a00071049_6235.1"	"a00071049_6235.2"	"a00075376_31911.1"	"a00075376_31911.2"	"a00077522_23410.1"	"a00077522_23410.2"	"a00078567_20066.1"	"a00078567_20066.2"	"a00081462_19899.1"	"a00081462_19899.2"	"a00082052_27979.1"	"a00082052_27979.2"	"a00085904_7598.1"	"a00085904_7598.2"	"a00087283_35345.1"	"a00087283_35345.2"	"a00090069_25394.1"	"a00090069_25394.2"	"a00096674_6090.1"	"a00096674_6090.2"	"a00100766_4329.1"	"a00100766_4329.2"	"a00102759_14882.1"	"a00102759_14882.2"	"a00103924_8234.1"	"a00103924_8234.2"	"a00106878_5807.1"	"a00106878_5807.2"	"a00108590_5633.1"	"a00108590_5633.2"	"a00109814_5074.1"	"a00109814_5074.2"	"a00119440_5278.1"	"a00119440_5278.2"	"a00120809_12849.1"	"a00120809_12849.2"	"a00123112_2714.1"	"a00123112_2714.2"	"a00132345_23501.1"	"a00132345_23501.2"	"a00133194_13505.1"	"a00133194_13505.2"	"a00137831_18975.1"	"a00137831_18975.2"	"a00146340_23909.1"	"a00146340_23909.2"	"a00150416_661.1"	"a00150416_661.2"	"a00155697_15407.1"	"a00155697_15407.2"	"a00157499_3419.1"	"a00157499_3419.2"	"a00160684_3089.1"	"a00160684_3089.2"	"a00161543_9085.1"	"a00161543_9085.2"	"a00161986_20138.1"	"a00161986_20138.2"	"a00170740_10829.1"	"a00170740_10829.2"	"a00175463_12566.1"	"a00175463_12566.2"	"a00179214_8144.1"	"a00179214_8144.2"	"a00181026_3325.1"	"a00181026_3325.2"	"a00186444_955.1"	"a00186444_955.2"	"a00189742_14048.1"	"a00189742_14048.2"	"a00191698_16865.1"	"a00191698_16865.2"	"a00197898_2244.1"	"a00197898_2244.2"	"a00198233_11563.1"	"a00198233_11563.2"	"a00200449_2676.1"	"a00200449_2676.2"	"a00202695_10416.1"	"a00202695_10416.2"	"a00219286_9054.1"	"a00219286_9054.2"	"a00225509_2830.1"	"a00225509_2830.2"	"a00234411_13137.1"	"a00234411_13137.2"	"a00236944_1923.1"	"a00236944_1923.2"	"a00238232_12078.1"	"a00238232_12078.2"	"a00240581_8833.1"	"a00240581_8833.2"	"a00240873_13157.1"	"a00240873_13157.2"	"a00240999_12825.1"	"a00240999_12825.2"	"a00248048_6635.1"	"a00248048_6635.2"	"a00251520_9783.1"	"a00251520_9783.2"	"a00252992_5737.1"	"a00252992_5737.2"	"a00255117_6348.1"	"a00255117_6348.2"	"a00273547_1562.1"	"a00273547_1562.2"	"a00282568_2061.1"	"a00282568_2061.2"	"a00292324_2920.1"	"a00292324_2920.2"	"a00314534_8683.1"	"a00314534_8683.2"	"a00325926_6683.1"	"a00325926_6683.2"	"a00326816_8574.1"	"a00326816_8574.2"	"a00328710_9618.1"	"a00328710_9618.2"	"a00337369_8082.1"	"a00337369_8082.2"	"a00516315_2251.1"	"a00516315_2251.2"	"a00596278_1489.1"	"a00596278_1489.2"
"01_2019_2246"	"100"	"100"	"101"	"101"	"102"	"101"	"102"	"101"	"101"	"101"	"103"	"103"	"103"	"103"	"102"	"101"	"102"	"102"	"101"	"101"	"102"	"102"	"102"	"102"	"100"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"103"	"103"	"102"	"102"	"102"	"103"	"100"	"100"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"103"	"102"	"102"	"101"	"101"	"103"	"103"	"100"	"100"	"102"	"101"	"100"	"100"	"101"	"101"	"101"	"101"	"100"	"100"	"102"	"102"	"103"	"103"	"103"	"103"	"103"	"103"	"101"	"101"	"100"	"100"	"102"	"102"	"100"	"101"	"103"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"100"	"100"	"100"	"100"	"100"	"102"	"103"	"101"	"101"	"102"	"101"	"100"	"102"	"100"	"100"	"102"	"101"	"102"	"102"	"102"	"101"	"103"	"103"	"102"	"102"	"101"	"101"	"101"	"101"	"101"	"101"	"0"	"0"	"101"	"101"	"100"	"100"	"100"	"100"	"103"	"101"	"102"	"103"	"101"	"101"	"101"	"101"	"102"	"102"	"100"	"103"	"102"	"101"	"103"	"101"	"101"	"101"	"102"	"103"	"103"	"103"	"100"	"100"	"101"	"101"	"103"	"103"	"102"	"102"	"102"	"101"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"102"	"101"	"102"	"102"	"100"	"103"	"100"	"100"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"103"	"103"	"103"	"102"	"101"	"100"	"100"	"100"	"103"
"01_2019_2258"	"100"	"100"	"101"	"101"	"102"	"101"	"102"	"102"	"101"	"101"	"102"	"102"	"103"	"103"	"102"	"102"	"102"	"102"	"102"	"101"	"102"	"102"	"102"	"102"	"100"	"103"	"101"	"101"	"100"	"103"	"101"	"101"	"101"	"101"	"103"	"103"	"102"	"103"	"100"	"100"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"103"	"103"	"102"	"102"	"101"	"101"	"102"	"103"	"100"	"103"	"101"	"101"	"100"	"100"	"103"	"103"	"101"	"101"	"100"	"100"	"102"	"102"	"102"	"102"	"103"	"103"	"102"	"103"	"102"	"102"	"100"	"100"	"102"	"102"	"101"	"101"	"103"	"103"	"100"	"100"	"103"	"101"	"100"	"100"	"101"	"101"	"100"	"100"	"100"	"100"	"100"	"100"	"102"	"102"	"102"	"102"	"102"	"102"	"100"	"102"	"100"	"103"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"100"	"101"	"102"	"101"	"101"	"101"	"100"	"102"	"100"	"103"	"103"	"101"	"102"	"103"	"102"	"101"	"102"	"102"	"103"	"103"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"102"	"102"	"103"	"101"	"100"	"100"	"103"	"101"	"100"	"103"	"101"	"101"	"102"	"102"	"100"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"102"	"101"	"102"	"103"	"100"	"100"	"100"	"100"	"101"	"101"	"0"	"0"	"101"	"101"	"103"	"103"	"102"	"101"	"103"	"103"	"103"	"101"	"102"	"101"	"100"	"101"	"100"	"103"
"01_2019_2265"	"0"	"0"	"100"	"101"	"102"	"101"	"102"	"101"	"103"	"101"	"102"	"103"	"100"	"100"	"101"	"101"	"102"	"102"	"102"	"101"	"103"	"103"	"101"	"101"	"100"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"101"	"101"	"102"	"102"	"103"	"103"	"100"	"100"	"102"	"101"	"102"	"102"	"103"	"103"	"100"	"101"	"100"	"103"	"102"	"101"	"101"	"101"	"103"	"103"	"100"	"103"	"101"	"101"	"103"	"103"	"103"	"101"	"101"	"101"	"100"	"102"	"101"	"101"	"102"	"102"	"103"	"103"	"102"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"100"	"100"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"102"	"102"	"100"	"100"	"100"	"103"	"103"	"103"	"102"	"102"	"102"	"102"	"102"	"102"	"100"	"100"	"103"	"103"	"102"	"101"	"102"	"101"	"102"	"101"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"102"	"102"	"100"	"100"	"100"	"100"	"100"	"103"	"103"	"103"	"102"	"103"	"101"	"101"	"102"	"101"	"102"	"103"	"100"	"103"	"102"	"101"	"103"	"103"	"100"	"101"	"102"	"103"	"101"	"101"	"100"	"103"	"103"	"103"	"100"	"103"	"0"	"0"	"102"	"101"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"102"	"101"	"102"	"103"	"103"	"103"	"100"	"100"	"102"	"101"	"0"	"0"	"101"	"101"	"100"	"100"	"101"	"101"	"100"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"100"	"100"
"01_2019_2215"	"100"	"103"	"100"	"100"	"102"	"102"	"102"	"101"	"103"	"101"	"102"	"102"	"103"	"103"	"102"	"101"	"101"	"101"	"102"	"102"	"102"	"103"	"102"	"102"	"103"	"103"	"101"	"101"	"100"	"100"	"102"	"101"	"103"	"101"	"102"	"103"	"102"	"102"	"100"	"102"	"101"	"101"	"102"	"101"	"100"	"103"	"100"	"100"	"103"	"103"	"102"	"102"	"101"	"101"	"103"	"103"	"100"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"101"	"101"	"100"	"102"	"102"	"101"	"102"	"102"	"100"	"103"	"102"	"103"	"102"	"101"	"100"	"103"	"102"	"101"	"100"	"100"	"103"	"103"	"102"	"102"	"103"	"103"	"100"	"103"	"102"	"102"	"100"	"100"	"100"	"100"	"100"	"103"	"102"	"103"	"102"	"102"	"102"	"101"	"102"	"102"	"100"	"100"	"102"	"101"	"102"	"101"	"101"	"101"	"103"	"101"	"101"	"101"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"100"	"102"	"100"	"103"	"103"	"103"	"102"	"102"	"101"	"101"	"102"	"101"	"103"	"103"	"100"	"100"	"101"	"101"	"101"	"101"	"101"	"101"	"103"	"103"	"103"	"101"	"100"	"100"	"103"	"103"	"100"	"100"	"102"	"102"	"102"	"102"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"102"	"102"	"102"	"102"	"102"	"100"	"103"	"100"	"103"	"102"	"101"	"0"	"0"	"101"	"101"	"100"	"103"	"102"	"101"	"100"	"103"	"103"	"103"	"102"	"101"	"101"	"101"	"100"	"103"
"01_2019_2205"	"100"	"100"	"100"	"101"	"102"	"102"	"102"	"101"	"103"	"101"	"102"	"102"	"103"	"103"	"102"	"101"	"102"	"102"	"102"	"102"	"102"	"103"	"102"	"101"	"100"	"103"	"102"	"101"	"100"	"100"	"102"	"102"	"103"	"101"	"102"	"103"	"102"	"103"	"100"	"100"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"103"	"103"	"102"	"102"	"101"	"101"	"102"	"103"	"103"	"103"	"102"	"102"	"100"	"100"	"103"	"101"	"101"	"101"	"100"	"102"	"101"	"101"	"102"	"102"	"103"	"103"	"102"	"103"	"102"	"102"	"100"	"100"	"102"	"102"	"101"	"101"	"103"	"101"	"102"	"102"	"103"	"101"	"100"	"103"	"101"	"101"	"101"	"101"	"100"	"100"	"100"	"100"	"102"	"103"	"102"	"102"	"102"	"102"	"100"	"102"	"100"	"103"	"102"	"102"	"101"	"101"	"102"	"101"	"103"	"103"	"102"	"101"	"101"	"101"	"101"	"101"	"100"	"101"	"101"	"101"	"101"	"101"	"100"	"100"	"100"	"100"	"103"	"103"	"102"	"103"	"102"	"102"	"102"	"102"	"102"	"103"	"100"	"103"	"102"	"101"	"101"	"101"	"101"	"101"	"102"	"102"	"103"	"101"	"100"	"100"	"101"	"101"	"100"	"100"	"102"	"102"	"102"	"102"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"101"	"101"	"102"	"103"	"100"	"103"	"100"	"100"	"102"	"101"	"102"	"103"	"102"	"101"	"103"	"103"	"101"	"101"	"103"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"100"	"103"
"01_2019_2228"	"100"	"100"	"101"	"101"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"103"	"103"	"102"	"101"	"102"	"102"	"101"	"101"	"102"	"102"	"102"	"102"	"100"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"103"	"103"	"102"	"102"	"102"	"103"	"100"	"100"	"102"	"102"	"101"	"101"	"100"	"103"	"101"	"101"	"100"	"103"	"102"	"102"	"101"	"101"	"103"	"103"	"100"	"100"	"102"	"101"	"100"	"100"	"101"	"101"	"101"	"101"	"100"	"100"	"102"	"102"	"103"	"103"	"103"	"103"	"102"	"103"	"101"	"101"	"100"	"100"	"102"	"102"	"100"	"100"	"103"	"103"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"100"	"100"	"100"	"100"	"100"	"102"	"103"	"101"	"101"	"101"	"101"	"100"	"102"	"100"	"100"	"102"	"101"	"102"	"102"	"102"	"101"	"103"	"103"	"102"	"102"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"100"	"100"	"100"	"100"	"103"	"101"	"102"	"102"	"101"	"101"	"101"	"101"	"102"	"102"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"103"	"103"	"103"	"103"	"100"	"100"	"101"	"101"	"103"	"103"	"0"	"0"	"102"	"102"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"102"	"101"	"102"	"102"	"100"	"103"	"100"	"100"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"100"	"103"	"103"	"102"	"101"	"101"	"101"	"100"	"103"
"01_2019_2186"	"100"	"100"	"100"	"101"	"101"	"101"	"102"	"102"	"103"	"103"	"102"	"102"	"103"	"103"	"102"	"102"	"102"	"102"	"101"	"101"	"102"	"103"	"102"	"101"	"100"	"103"	"102"	"101"	"100"	"100"	"102"	"101"	"101"	"101"	"103"	"103"	"103"	"103"	"100"	"102"	"102"	"102"	"101"	"101"	"103"	"103"	"100"	"100"	"100"	"103"	"102"	"101"	"102"	"102"	"103"	"103"	"103"	"103"	"101"	"101"	"103"	"103"	"101"	"101"	"100"	"100"	"100"	"102"	"102"	"101"	"102"	"103"	"103"	"103"	"103"	"103"	"102"	"101"	"100"	"103"	"102"	"101"	"100"	"100"	"103"	"101"	"102"	"102"	"103"	"101"	"100"	"103"	"101"	"101"	"100"	"100"	"100"	"100"	"100"	"103"	"102"	"102"	"102"	"101"	"102"	"102"	"102"	"102"	"100"	"103"	"102"	"102"	"102"	"101"	"102"	"102"	"103"	"101"	"102"	"102"	"103"	"101"	"101"	"101"	"100"	"101"	"101"	"101"	"101"	"101"	"100"	"100"	"100"	"103"	"103"	"103"	"102"	"103"	"102"	"101"	"102"	"102"	"102"	"103"	"103"	"103"	"101"	"101"	"101"	"101"	"100"	"101"	"103"	"103"	"103"	"103"	"100"	"103"	"103"	"101"	"100"	"100"	"102"	"102"	"102"	"102"	"103"	"103"	"101"	"101"	"102"	"101"	"102"	"102"	"102"	"101"	"102"	"103"	"100"	"100"	"103"	"103"	"102"	"101"	"102"	"102"	"102"	"101"	"100"	"100"	"101"	"101"	"100"	"103"	"103"	"103"	"102"	"101"	"101"	"101"	"100"	"100"
"01_2019_2180"	"100"	"100"	"100"	"100"	"102"	"101"	"102"	"101"	"103"	"101"	"102"	"102"	"103"	"103"	"102"	"101"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"101"	"100"	"103"	"101"	"101"	"100"	"100"	"101"	"101"	"103"	"101"	"102"	"102"	"102"	"102"	"100"	"102"	"102"	"101"	"102"	"101"	"103"	"103"	"100"	"101"	"103"	"103"	"102"	"101"	"102"	"102"	"103"	"103"	"100"	"100"	"101"	"101"	"100"	"100"	"103"	"101"	"100"	"100"	"102"	"102"	"101"	"101"	"102"	"102"	"103"	"103"	"103"	"103"	"102"	"102"	"100"	"103"	"102"	"102"	"100"	"101"	"103"	"101"	"102"	"102"	"103"	"101"	"103"	"103"	"101"	"101"	"100"	"100"	"100"	"100"	"103"	"103"	"102"	"102"	"101"	"101"	"102"	"102"	"100"	"100"	"100"	"100"	"102"	"101"	"101"	"101"	"102"	"102"	"103"	"101"	"102"	"101"	"103"	"101"	"101"	"101"	"101"	"101"	"102"	"102"	"101"	"101"	"100"	"100"	"103"	"103"	"103"	"101"	"102"	"103"	"102"	"101"	"102"	"102"	"102"	"103"	"103"	"103"	"101"	"101"	"101"	"101"	"100"	"101"	"102"	"103"	"103"	"103"	"100"	"100"	"103"	"101"	"100"	"100"	"101"	"101"	"102"	"102"	"100"	"103"	"102"	"102"	"102"	"102"	"100"	"100"	"101"	"101"	"102"	"103"	"103"	"103"	"103"	"103"	"101"	"101"	"102"	"103"	"101"	"101"	"100"	"103"	"101"	"101"	"100"	"100"	"103"	"101"	"102"	"101"	"101"	"101"	"100"	"103"
"01_2019_2121"	"100"	"100"	"100"	"100"	"101"	"101"	"101"	"101"	"103"	"103"	"102"	"103"	"100"	"100"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"101"	"101"	"100"	"103"	"101"	"101"	"103"	"103"	"102"	"101"	"101"	"101"	"103"	"103"	"102"	"102"	"100"	"100"	"102"	"102"	"102"	"101"	"103"	"103"	"100"	"101"	"100"	"103"	"102"	"102"	"101"	"101"	"102"	"102"	"100"	"100"	"101"	"101"	"100"	"100"	"103"	"101"	"100"	"101"	"100"	"100"	"101"	"101"	"103"	"103"	"103"	"103"	"102"	"103"	"102"	"102"	"100"	"100"	"102"	"102"	"100"	"100"	"103"	"103"	"100"	"102"	"101"	"101"	"100"	"100"	"101"	"101"	"100"	"100"	"103"	"103"	"103"	"103"	"103"	"103"	"101"	"101"	"102"	"102"	"100"	"100"	"100"	"100"	"102"	"102"	"102"	"102"	"102"	"101"	"101"	"101"	"102"	"102"	"101"	"101"	"102"	"102"	"101"	"101"	"102"	"102"	"101"	"101"	"100"	"102"	"100"	"100"	"103"	"103"	"102"	"103"	"101"	"101"	"102"	"101"	"102"	"103"	"103"	"103"	"101"	"101"	"101"	"101"	"101"	"101"	"102"	"102"	"101"	"101"	"103"	"103"	"103"	"101"	"103"	"103"	"102"	"101"	"102"	"102"	"103"	"103"	"102"	"101"	"102"	"101"	"100"	"100"	"102"	"101"	"102"	"103"	"103"	"103"	"100"	"100"	"102"	"101"	"103"	"103"	"101"	"101"	"100"	"103"	"102"	"101"	"103"	"103"	"103"	"101"	"102"	"102"	"101"	"101"	"103"	"103"
"01_2019_2135"	"100"	"100"	"100"	"100"	"102"	"101"	"102"	"102"	"103"	"101"	"102"	"103"	"103"	"103"	"101"	"101"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"100"	"103"	"102"	"101"	"103"	"103"	"101"	"101"	"103"	"101"	"103"	"103"	"102"	"103"	"100"	"100"	"101"	"101"	"102"	"101"	"100"	"103"	"100"	"101"	"103"	"103"	"102"	"101"	"102"	"102"	"102"	"102"	"100"	"103"	"101"	"101"	"103"	"103"	"103"	"101"	"100"	"101"	"100"	"102"	"102"	"101"	"102"	"102"	"103"	"103"	"103"	"103"	"101"	"101"	"100"	"100"	"102"	"101"	"101"	"101"	"103"	"103"	"102"	"102"	"103"	"101"	"100"	"103"	"101"	"101"	"101"	"101"	"100"	"100"	"100"	"100"	"102"	"103"	"102"	"101"	"102"	"101"	"100"	"102"	"100"	"103"	"102"	"102"	"102"	"101"	"101"	"101"	"103"	"103"	"102"	"101"	"101"	"101"	"102"	"101"	"100"	"100"	"101"	"101"	"101"	"101"	"100"	"102"	"103"	"103"	"103"	"101"	"103"	"103"	"102"	"102"	"102"	"102"	"102"	"102"	"103"	"103"	"102"	"101"	"101"	"101"	"100"	"100"	"102"	"103"	"103"	"101"	"100"	"100"	"103"	"103"	"100"	"103"	"101"	"101"	"102"	"101"	"103"	"103"	"102"	"102"	"102"	"102"	"100"	"102"	"102"	"101"	"102"	"102"	"100"	"103"	"103"	"103"	"102"	"102"	"102"	"102"	"101"	"101"	"100"	"103"	"102"	"101"	"100"	"103"	"103"	"103"	"102"	"101"	"101"	"101"	"100"	"103"
